129.73.0.0,129.73.255.255,65536,11/10/99,
144.22.0.0,144.22.255.255,65536,06/11/90,
144.23.0.0,144.23.255.255,65536,06/11/90,
163.178.0.0,163.178.255.255,65536,07/08/92,
181.189.0.0,181.189.63.255,16384,31/05/12,
181.189.64.0,181.189.127.255,16384,07/08/12,
181.193.0.0,181.193.255.255,65536,15/08/12,
181.194.0.0,181.195.255.255,131072,15/08/12,
181.224.0.0,181.224.31.255,8192,26/09/12,
181.224.32.0,181.224.63.255,8192,07/11/12,
181.224.64.0,181.224.95.255,8192,07/01/13,
181.233.0.0,181.233.63.255,16384,13/12/12,
181.233.64.0,181.233.127.255,16384,07/01/13,
181.233.128.0,181.233.143.255,4096,04/04/13,
186.4.0.0,186.4.63.255,16384,18/11/09,
186.5.160.0,186.5.175.255,4096,22/03/13,
186.15.0.0,186.15.63.255,16384,22/10/08,
186.15.64.0,186.15.127.255,16384,06/03/09,
186.15.128.0,186.15.255.255,32768,06/03/09,
186.26.112.0,186.26.127.255,4096,22/07/11,
186.32.0.0,186.32.63.255,16384,24/06/11,
186.32.160.0,186.32.191.255,8192,24/06/11,
186.32.192.0,186.32.223.255,8192,24/06/11,
186.64.128.0,186.64.255.255,32768,21/02/11,
186.96.80.0,186.96.95.255,4096,16/03/12,
186.159.128.0,186.159.255.255,32768,01/02/12,
186.176.0.0,186.176.127.255,32768,26/08/10,
186.176.128.0,186.176.255.255,32768,25/01/11,
186.177.0.0,186.177.127.255,32768,20/10/11,
186.179.64.0,186.179.79.255,4096,25/07/12,
190.7.160.0,190.7.175.255,4096,11/06/07,
190.7.192.0,190.7.207.255,4096,31/01/07,
190.7.208.0,190.7.223.255,4096,29/11/07,
190.10.0.0,190.10.31.255,8192,24/01/06,
190.10.32.0,190.10.63.255,8192,07/03/07,
190.10.64.0,190.10.127.255,16384,07/03/07,
190.93.160.0,190.93.175.255,4096,26/07/11,
190.93.240.0,190.93.255.255,4096,19/03/12,
190.102.32.0,190.102.47.255,4096,29/02/12,
190.106.64.0,190.106.79.255,4096,28/11/08,
190.113.32.0,190.113.63.255,8192,24/09/12,
190.113.96.0,190.113.111.255,4096,29/04/10,
190.113.112.0,190.113.127.255,4096,26/06/11,
190.115.96.0,190.115.111.255,4096,21/09/12,
190.123.128.0,190.123.143.255,4096,11/09/09,
190.171.0.0,190.171.63.255,16384,23/06/10,
190.211.96.0,190.211.127.255,8192,10/08/11,
190.241.0.0,190.241.63.255,16384,07/03/08,
190.241.64.0,190.241.127.255,16384,12/06/09,
190.241.128.0,190.241.255.255,32768,21/10/08,
196.40.0.0,196.40.63.255,16384,05/10/98,
196.40.64.0,196.40.95.255,8192,05/10/98,
200.9.32.0,200.9.63.255,8192,21/07/93,
200.91.64.0,200.91.127.255,16384,29/11/02,
200.91.128.0,200.91.191.255,16384,11/10/04,
200.122.128.0,200.122.159.255,8192,21/01/04,
200.122.160.0,200.122.191.255,8192,24/01/06,
201.191.0.0,201.191.255.255,65536,15/09/08,
201.192.0.0,201.207.255.255,1048576,30/05/05,
201.218.160.0,201.218.191.255,8192,09/03/12,
201.237.0.0,201.237.255.255,65536,11/02/05,

